data_year,state_abbr,officer_state_total
1999,AS,0
1999,AZ,17705
1999,CA,110984
1999,CO,15630
1999,CT,10978
1999,CZ,0
1999,DC,4899
1999,DE,3370
1999,FL,65898
1999,FS,0
1999,GA,34248
1999,GM,0
1999,HI,3974
1999,IA,7626
1999,ID,3590
1999,IL,43982
1999,IN,16861
1999,KS,9694
1999,KY,10203
1999,LA,20891
1999,MA,20495
1999,MD,19006
1999,ME,2858
1999,MI,29580
1999,MN,12315
1999,MO,17329
1999,MP,0
1999,MS,8801
1999,MT,2673
1999,NB,4443
1999,NC,28783
1999,ND,1593
1999,NH,3517
1999,NJ,38411
1999,NM,5905
1999,NV,6791
1999,NY,93513
1999,OH,34946
1999,OK,10285
1999,OR,7778
1999,OT,0
1999,PA,30402
1999,PR,0
1999,RI,3048
1999,SC,13919
1999,SD,1833
1999,TN,30304
1999,TX,74432
1999,UT,8154
1999,VA,25619
1999,VI,0
1999,VT,1304
1999,WA,14313
1999,WI,19558
1999,WV,4665
1999,WY,1859
2000,AK,1833
2000,AL,15321
2000,AR,8867
2000,AS,0
2000,AZ,18049
2000,CA,109194
2000,CO,16463
2000,CT,12154
2000,CZ,0
2000,DC,5290
2000,DE,3662
2000,FL,67639
2000,FS,0
2000,GA,35771
2000,GM,331
2000,HI,4143
2000,IA,7851
2000,ID,3628
2000,IL,50504
2000,IN,17511
2000,KS,12196
2000,KY,10670
2000,LA,21170
2000,MA,21135
2000,MD,19458
2000,ME,2941
2000,MI,30973
2000,MN,12602
2000,MO,17291
2000,MP,0
2000,MS,8784
2000,MT,2647
2000,NB,4724
2000,NC,28626
2000,ND,1610
2000,NH,3512
2000,NJ,38869
2000,NM,5858
2000,NV,7153
2000,NY,89114
2000,OH,35570
2000,OK,10501
2000,OR,7934
2000,OT,0
2000,PA,30514
2000,PR,0
2000,RI,3128
2000,SC,14614
2000,SD,2076
2000,TN,31950
2000,TX,75794
2000,UT,8435
2000,VA,22497
2000,VI,0
2000,VT,1414
2000,WA,14679
2000,WI,17865
2000,WV,4469
2000,WY,1844
2001,AK,1865
2001,AL,15444
2001,AR,9568
2001,AS,0
2001,AZ,18637
2001,CA,109618
2001,CO,17525
2001,CT,11986
2001,CZ,0
2001,DC,5456
2001,DE,3911
2001,FL,66866
2001,FS,0
2001,GA,49914
2001,GM,0
2001,HI,4055
2001,IA,8002
2001,ID,3812
2001,IL,51074
2001,IN,18147
2001,KS,12481
2001,KY,11205
2001,LA,21430
2001,MA,20895
2001,MD,19896
2001,ME,2928
2001,MI,30166
2001,MN,12920
2001,MO,17678
2001,MP,0
2001,MS,9289
2001,MT,2823
2001,NB,4850
2001,NC,30040
2001,ND,1573
2001,NH,3818
2001,NJ,39580
2001,NM,5589
2001,NV,7533
2001,NY,90620
2001,OH,36711
2001,OK,10708
2001,OR,8218
2001,OT,0
2001,PA,30709
2001,PR,0
2001,RI,3083
2001,SC,15106
2001,SD,2198
2001,TN,25345
2001,TX,77935
2001,UT,8369
2001,VA,23025
2001,VI,0
2001,VT,1368
2001,WA,14940
2001,WI,18098
2001,WV,4505
2001,WY,2046
2002,AK,1904
2002,AL,15419
2002,AR,10044
2002,AS,0
2002,AZ,18835
2002,CA,117192
2002,CO,16789
2002,CT,12138
2002,CZ,0
2002,DC,5636
2002,DE,4249
2002,FL,71558
2002,FS,0
2002,GA,34710
2002,GM,0
2002,HI,4078
2002,IA,7959
2002,ID,3867
2002,IL,50719
2002,IN,18490
2002,KS,11696
2002,KY,11499
2002,LA,23139
2002,MA,21323
2002,MD,20269
2002,ME,2996
2002,MI,33398
2002,MN,13180
2002,MO,19097
2002,MP,0
2002,MS,9305
2002,MT,2877
2002,NB,4876
2002,NC,30198
2002,ND,1613
2002,NH,4140
2002,NJ,39614
2002,NM,5681
2002,NV,8332
2002,NY,88000
2002,OH,36916
2002,OK,10730
2002,OR,8228
2002,OT,0
2002,PA,31413
2002,PR,0
2002,RI,3135
2002,SC,15280
2002,SD,2200
2002,TN,26313
2002,TX,79076
2002,UT,7011
2002,VA,22817
2002,VI,0
2002,VT,1449
2002,WA,14779
2002,WI,18209
2002,WV,4468
2002,WY,2029
2003,AK,1856
2003,AL,15727
2003,AR,11094
2003,AS,0
2003,AZ,19151
2003,CA,117891
2003,CO,16783
2003,CT,10580
2003,CZ,0
2003,DC,5416
2003,DE,4281
2003,FL,70303
2003,FS,0
2003,GA,50405
2003,GM,0
2003,HI,4098
2003,IA,7976
2003,ID,3882
2003,IL,50791
2003,IN,18465
2003,KS,11973
2003,KY,13751
2003,LA,22408
2003,MA,20313
2003,MD,20042
2003,ME,3029
2003,MI,32288
2003,MN,13028
2003,MO,19269
2003,MP,0
2003,MS,9210
